City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,East London,ZA,-33.0153,27.9116,73.27,79,89,12.28,overcast clouds
79,Kieta,PG,-6.2167,155.6333,83.93,71,83,3.56,light rain
80,Tuatapere,NZ,-46.1333,167.6833,67.82,50,55,2.46,broken clouds
81,Ponta Do Sol,PT,32.6667,-17.1,61.43,61,89,1.05,overcast clouds
82,Ardabil,IR,38.2498,48.2933,27.32,91,98,5.91,light snow
83,Bengkulu,ID,-3.8004,102.2655,76.12,85,100,2.44,overcast clouds
84,Pochutla,MX,15.7432,-96.4661,85.82,57,65,4.56,broken clouds
85,Payo,ID,-3.7508,103.6372,72.95,94,97,1.83,overcast clouds
86,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,34,12.93,scattered clouds
87,Port Hedland,AU,-20.3167,118.5667,87.85,58,10,14.97,clear sky
88,Cabo San Lucas,MX,22.8909,-109.9124,82.62,47,98,5.73,overcast clouds
89,Cherskiy,RU,68.75,161.3,-24.03,97,97,7.2,overcast clouds
90,Takaka,NZ,-40.85,172.8,67.55,57,76,5.84,broken clouds
91,Bodaybo,RU,57.8506,114.1933,-40.31,100,56,1.83,broken clouds
92,Kavaratti,IN,10.5669,72.642,80.33,72,31,5.91,scattered clouds
93,Bhatkal,IN,13.9667,74.5667,73.53,71,0,3.71,clear sky
94,Fare,PF,-16.7,-151.0167,81.12,73,100,13.98,light rain
95,Mattru,SL,7.6244,-11.8332,74.93,94,36,2.59,light rain
96,Megion,RU,61.0296,76.1136,-4.99,97,98,9.89,overcast clouds
97,Hithadhoo,MV,-0.6,73.0833,81.84,75,72,11.72,broken clouds
98,Bambanglipuro,ID,-7.95,110.2833,62.6,86,100,3.67,light rain
99,Ancud,CL,-41.8697,-73.8203,59.0,90,11,2.35,few clouds
100,Madimba,TZ,-10.4,40.3333,77.32,91,66,4.85,light rain
101,Northam,GB,51.0333,-4.2167,46.26,88,100,17.83,overcast clouds
102,Padang,ID,-0.9492,100.3543,71.65,77,100,4.25,overcast clouds
103,Tamiahua,MX,21.2667,-97.45,59.05,54,34,9.75,scattered clouds
104,Provideniya,RU,64.3833,-173.3,-3.64,71,0,8.99,clear sky
105,Sabang,ID,5.8933,95.3214,81.72,72,34,9.19,scattered clouds
106,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
107,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,75,6.91,broken clouds
108,Yeppoon,AU,-23.1333,150.7333,82.18,74,49,20.83,scattered clouds
109,Znamenskoye,RU,57.1281,73.8282,2.35,98,99,4.85,overcast clouds
110,Margate,GB,51.3813,1.3862,49.96,88,100,8.99,light rain
111,Chumikan,RU,54.7183,135.315,-7.56,89,78,5.26,broken clouds
112,Clyde River,CA,70.4692,-68.5914,-18.17,76,100,23.02,haze
113,Qaanaaq,GL,77.484,-69.3632,-7.8,74,99,5.99,overcast clouds
114,Lavrentiya,RU,65.5833,-171.0,-17.07,92,47,3.18,scattered clouds
115,Abu Dhabi,AE,24.4667,54.3667,63.97,78,20,6.91,few clouds
116,Mahajanga,MG,-15.7167,46.3167,76.68,90,17,9.66,light rain
117,Lazaro Cardenas,MX,17.9583,-102.2,81.97,56,88,4.76,overcast clouds
118,Port Antonio,JM,18.18,-76.4612,78.94,75,43,6.42,scattered clouds
119,Mandalgovi,MN,45.7625,106.2708,-7.96,89,40,7.47,scattered clouds
120,Gashua,NG,12.871,11.0482,68.88,14,2,8.14,clear sky
121,Tura,IN,25.5198,90.2201,53.24,75,0,4.72,clear sky
122,Olonets,RU,60.9847,32.9698,30.34,97,100,14.85,snow
123,Egvekinot,RU,66.3167,-179.1667,-16.15,91,66,5.7,broken clouds
124,Hualmay,PE,-11.0964,-77.6139,72.48,76,22,10.4,few clouds
125,Bubaque,GW,11.2833,-15.8333,77.94,67,3,10.07,clear sky
126,Buchanan,LR,5.8808,-10.0467,78.84,87,42,7.43,scattered clouds
127,Solnechnyy,RU,50.7214,136.6319,10.24,91,99,5.08,overcast clouds
128,Toora-Khem,RU,52.4675,96.11,-31.85,100,74,0.76,broken clouds
129,Hobart,AU,-42.8794,147.3294,63.27,77,100,10.36,overcast clouds
130,Marawi,PH,7.9986,124.2928,67.64,79,100,1.14,overcast clouds
131,Cermik,TR,38.1361,39.4493,30.69,58,97,4.27,overcast clouds
132,Iqaluit,CA,63.7506,-68.5145,-15.07,64,100,6.91,light snow
133,Klaksvik,FO,62.2266,-6.589,34.72,67,100,27.98,overcast clouds
134,Tsabong,BW,-26.0217,22.401,79.14,32,51,7.81,broken clouds
135,Rio Gallegos,AR,-51.6226,-69.2181,51.85,28,20,26.46,few clouds
136,Baculin,PH,7.4525,126.5842,80.64,73,85,4.94,overcast clouds
137,Sobolevo,RU,54.4299,31.8996,21.79,88,62,11.54,broken clouds
138,Sri Aman,MY,1.2376,111.4621,74.44,97,94,1.54,overcast clouds
139,Odessa,UA,46.4775,30.7326,24.73,100,74,2.24,mist
140,Puro,PH,12.4841,123.3827,78.73,80,92,10.8,overcast clouds
141,Dikson,RU,73.5069,80.5464,-4.86,86,100,24.11,overcast clouds
142,Shenjiamen,CN,29.9576,122.298,43.95,75,45,17.38,scattered clouds
143,Bogorodskoye,RU,56.55,37.8833,28.09,83,100,12.26,overcast clouds
144,Narsaq,GL,60.9167,-46.05,23.22,96,100,5.28,light snow
145,Chernyshevskiy,RU,63.0128,112.4714,-24.59,100,85,1.83,overcast clouds
146,Ketchikan,US,55.3422,-131.6461,48.18,87,100,3.44,light rain
147,Yar-Sale,RU,66.8333,70.8333,-18.29,99,100,7.94,overcast clouds
148,Codrington,AU,-38.2667,141.9667,69.22,63,66,9.98,broken clouds
149,Bethel,US,41.3712,-73.414,28.02,69,100,10.0,overcast clouds
150,Galesong,ID,-5.3166,119.3661,77.02,79,74,3.65,broken clouds
151,Beringovskiy,RU,63.05,179.3167,-21.37,94,20,8.7,few clouds
152,Faanui,PF,-16.4833,-151.75,80.92,75,100,14.56,light rain
153,Norman Wells,CA,65.282,-126.8329,-2.99,94,100,5.37,overcast clouds
154,Tiksi,RU,71.6872,128.8694,-13.07,92,10,11.41,clear sky
155,Durban,ZA,-29.8579,31.0292,78.93,82,100,7.0,overcast clouds
156,Caravelas,BR,-17.7125,-39.2481,75.78,88,73,4.94,broken clouds
157,Saldanha,ZA,-33.0117,17.9442,66.25,90,0,13.96,clear sky
158,Praya,CV,14.9215,-23.5087,71.94,75,69,16.58,broken clouds
159,Beisfjord,NO,68.3751,17.5988,30.25,96,99,5.03,light snow
160,Port Lincoln,AU,-34.7333,135.8667,70.03,73,87,10.83,overcast clouds
161,Ornskoldsvik,SE,63.2909,18.7153,34.75,93,42,12.66,scattered clouds
162,Pitimbu,BR,-7.4706,-34.8086,82.99,75,5,12.88,clear sky
163,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.78,73,29,12.62,scattered clouds
164,Fort Nelson,CA,58.8053,-122.7002,13.41,95,96,2.89,overcast clouds
165,Khorixas,NA,-20.3667,14.9667,69.22,77,100,8.57,overcast clouds
166,Troitsko-Pechorsk,RU,62.7084,56.1964,-2.02,100,96,1.28,overcast clouds
167,Burnie,AU,-41.0667,145.9167,74.95,54,86,4.23,overcast clouds
168,Hannibal,US,39.7084,-91.3585,23.0,53,0,3.44,clear sky
169,Khorramabad,IR,33.4878,48.3558,42.84,54,0,5.01,clear sky
170,Salalah,OM,17.0151,54.0924,73.49,18,0,21.85,clear sky
171,Salacgriva,LV,57.7536,24.3581,33.91,80,100,17.45,overcast clouds
172,Miandrivazo,MG,-19.5167,45.4667,76.84,86,68,1.86,broken clouds
173,Altoona,US,40.5187,-78.3947,25.02,66,95,4.0,overcast clouds
174,Chitipa,MW,-9.7024,33.2697,61.43,94,96,1.88,overcast clouds
175,Cozumel,MX,20.5083,-86.9458,77.07,74,0,10.36,clear sky
176,Sitka,US,57.0531,-135.33,40.89,87,100,9.22,overcast clouds
177,Camocim,BR,-2.9022,-40.8411,79.27,84,19,13.71,few clouds
178,Port Hawkesbury,CA,45.6169,-61.3485,23.92,85,100,4.61,light snow
179,Donnacona,CA,46.6804,-71.7239,-10.28,96,67,4.43,broken clouds
180,Spas-Demensk,RU,54.4122,34.0226,20.86,87,86,10.09,overcast clouds
181,Brovst,DK,57.0956,9.528,41.13,87,75,11.5,moderate rain
182,Tanout,NE,14.9709,8.8879,65.8,12,0,10.65,clear sky
183,Alyangula,AU,-13.8483,136.4192,85.84,62,19,15.73,few clouds
184,Lamar,US,33.6668,-95.5836,55.56,26,0,6.91,clear sky
185,Talnakh,RU,69.4865,88.3972,-8.01,70,11,8.61,few clouds
186,Irbil,IQ,36.1926,44.0106,48.83,48,14,2.19,few clouds
187,Calama,CL,-22.4667,-68.9333,62.6,27,38,10.92,scattered clouds
188,Qom,IR,34.6401,50.8764,41.63,57,0,5.28,clear sky
189,Balangiga,PH,11.1097,125.3875,79.88,82,99,9.75,overcast clouds
190,Charleston,US,32.7766,-79.9309,59.11,55,100,12.66,overcast clouds
191,Lasa,IT,46.6166,10.7002,25.02,70,1,1.99,clear sky
192,Thompson,CA,55.7435,-97.8558,-10.66,99,99,3.85,overcast clouds
193,Cap Malheureux,MU,-19.9842,57.6142,81.46,78,85,7.0,overcast clouds
194,Carnarvon,AU,-24.8667,113.6333,82.56,73,3,4.79,clear sky
195,Cairns,AU,-16.9167,145.7667,84.29,83,100,5.75,overcast clouds
196,Kenai,US,60.5544,-151.2583,35.02,94,100,8.05,mist
197,Shama,CN,33.6102,104.2852,27.09,55,98,3.58,overcast clouds
198,Kalmunai,LK,7.4167,81.8167,76.53,81,98,8.46,overcast clouds
199,Eureka,US,40.8021,-124.1637,69.67,77,97,2.28,overcast clouds
200,Seydi,TM,39.4816,62.9137,40.87,42,34,9.78,scattered clouds
201,Butaritari,KI,3.0707,172.7902,80.85,78,80,12.86,moderate rain
202,Lebu,CL,-37.6167,-73.65,59.31,89,79,5.99,broken clouds
203,Pacific Grove,US,36.6177,-121.9166,82.6,79,3,5.01,clear sky
204,Raudeberg,NO,61.9875,5.1352,38.07,96,100,1.99,overcast clouds
205,Phoenix,US,33.4484,-112.074,82.92,11,0,3.44,clear sky
206,Luderitz,NA,-26.6481,15.1594,72.48,63,1,9.86,clear sky
207,Kuala Terengganu,MY,5.3302,103.1408,75.65,89,27,2.42,scattered clouds
