City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
175,Cozumel,MX,77.07,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
177,Camocim,BR,79.27,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
187,Calama,CL,62.6,scattered clouds,-22.4667,-68.9333,Diego De Almagro Calama
189,Balangiga,PH,79.88,overcast clouds,11.1097,125.3875,Country Inn Bed and Breakfast
198,Kalmunai,LK,76.53,overcast clouds,7.4167,81.8167,VS Villa
199,Eureka,US,69.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
207,Kuala Terengganu,MY,75.65,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
212,Atambua,ID,77.18,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
215,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
218,Vila Do Maio,CV,72.93,broken clouds,15.1333,-23.2167,Hotel Marilu
224,Bintulu,MY,76.46,overcast clouds,3.1667,113.0333,900 Boutique INN
228,Fortuna,US,71.19,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
229,Antalaha,MG,73.0,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
230,Prieska,ZA,77.97,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
231,Veraval,IN,65.5,clear sky,20.9,70.3667,Lords Inn Somnath
233,Byron Bay,AU,77.88,broken clouds,-28.65,153.6167,Backpackers Inn
238,Tignere,CM,67.75,scattered clouds,7.3667,12.65,SADECK
245,Kumbo,CM,62.33,scattered clouds,6.2,10.6667,Western Inn Resort
247,Geraldton,AU,77.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
249,Kralendijk,BQ,78.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
250,Coquimbo,CL,66.07,clear sky,-29.9533,-71.3436,Hostel Del Puerto
252,Belawan,ID,76.33,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
256,Capoeiras,BR,69.98,overcast clouds,-8.7347,-36.6267,Pousada Pão de Mel
259,Alugan,PH,79.59,overcast clouds,12.2188,125.4808,JM Lodge
260,Kaitangata,NZ,60.93,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
263,Saint-Georges,GD,77.43,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
269,Keti Bandar,PK,67.57,clear sky,24.1447,67.4497,Haji laloo memon house
272,Ihosy,MG,68.16,broken clouds,-22.4,46.1167,Hotely Sariaka
273,Ahipara,NZ,69.53,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
287,Port Elizabeth,ZA,68.59,light rain,-33.918,25.5701,39 On Nile Guest House
292,Dicabisagan,PH,77.49,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
293,Talcahuano,CL,60.24,broken clouds,-36.7167,-73.1167,departamento comodo
297,Ilhabela,BR,74.95,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
298,Dingle,PH,78.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
302,Tabou,CI,76.75,light rain,4.423,-7.3528,hotêl doufoulougou
303,Luanda,AO,76.86,overcast clouds,-8.8368,13.2343,Hotel Fórum
309,Takoradi,GH,78.75,light rain,4.8845,-1.7554,Raybow International Hotel
310,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
311,Taltal,CL,68.4,few clouds,-25.4,-70.4833,Residencial Karime
314,Kutum,SD,60.08,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
319,Vallenar,CL,70.7,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
323,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
328,Sorong,ID,78.33,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
331,Samfya,ZM,63.9,light rain,-11.3649,29.5565,Chita Lodge Samfya
333,Malanje,AO,63.64,light rain,-9.5402,16.341,Hotel Ginga
335,Galle,LK,73.99,overcast clouds,6.0367,80.217,Amangalla
337,Amahai,ID,78.39,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
338,Machico,PT,61.43,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
339,Sokoto,NG,72.97,clear sky,13.0609,5.239,Giginya Coral Hotel
341,Sao Filipe,CV,73.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
346,Manicore,BR,73.18,overcast clouds,-5.8092,-61.3003,Hotel Durval
348,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
356,Miri,MY,75.9,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
358,Ruwi,OM,67.69,broken clouds,23.5996,58.5507,Al Falaj Hotel
359,Bontang,ID,78.13,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
362,Sao Joao Da Barra,BR,76.24,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
364,Nauta,PE,74.43,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
365,Morondava,MG,79.79,light rain,-20.2833,44.2833,La Case Bambou
366,Itaueira,BR,73.92,light rain,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
370,Kalangala,UG,73.27,light rain,-0.3089,32.225,Ssese Habitat Resort
372,Alta Floresta,BR,71.37,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
374,Gigmoto,PH,79.14,broken clouds,13.7796,124.39,Cj's Travellers Inn
376,Frankfort,ZA,62.53,broken clouds,-27.2667,28.4833,Formule 11 Accomodation
379,Fallon,US,68.41,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
382,Pagudpud,PH,78.67,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
386,Victoria,HK,60.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
387,Tirumullaivasal,IN,76.19,broken clouds,11.2333,79.8333,Almupaark complex
389,Andilamena,MG,65.86,broken clouds,-17.0167,48.5833,Police men home Andilamina
390,Amparafaravola,MG,67.15,broken clouds,-17.5833,48.2167,Aina Franco
393,Jiwani,PK,70.61,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
396,Acari,PE,74.16,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
398,Am Timan,TD,76.73,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
409,Praia,CV,71.94,broken clouds,14.9215,-23.5087,LT Aparthotel
413,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
420,Bunbury,AU,67.82,clear sky,-33.3333,115.6333,Bunbury Hotel Koombana Bay
421,San Quintin,MX,72.81,clear sky,30.4833,-115.95,Don Eddie's Landing
422,Port Blair,IN,73.15,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
423,Namibe,AO,74.48,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
424,Sao Felix Do Xingu,BR,69.73,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
428,Cordoba,AR,70.43,clear sky,-31.4135,-64.1811,Hotel Sussex
432,Cawayan,PH,79.25,overcast clouds,9.9718,122.6249,Paradise Beach Resort
433,Foso,GH,75.22,overcast clouds,5.7012,-1.2866,Pristina Cottage
434,Plettenberg Bay,ZA,67.32,light rain,-34.0527,23.3716,Thanda Vista B&B
437,Wanaka,NZ,66.11,few clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
439,Laguna,US,79.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
440,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
444,Port Keats,AU,77.02,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
448,Moron,AR,75.97,clear sky,-34.6534,-58.6198,Hotel Morón
453,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
454,Mirador,BR,74.57,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
457,Biak,ID,76.87,overcast clouds,-0.9131,122.8766,Penginapan Kim
464,Bundaberg,AU,77.7,few clouds,-24.85,152.35,Takalvan Motel
466,Carson City,US,68.83,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
470,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
471,Mitzic,GA,68.2,broken clouds,0.7821,11.549,Motel Emys
477,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
482,Portland,US,64.33,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
492,Iralaya,HN,76.53,clear sky,15.0,-83.2333,Iglesia morava renovada
494,Sao Gabriel Da Cachoeira,BR,73.83,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
495,Christchurch,NZ,62.94,overcast clouds,-43.5333,172.6333,The George
497,Banda Aceh,ID,77.63,scattered clouds,5.5577,95.3222,Sulthan Hotel International
499,Bhimunipatnam,IN,63.91,clear sky,17.8833,83.4333,Bheemili Court
500,Pathein,MM,60.93,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
501,Timbiqui,CO,74.3,light rain,2.7717,-77.6654,hotel diana
502,Constitucion,CL,60.48,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
504,Malakal,SS,79.21,clear sky,9.5334,31.6605,Nile Palace Hotel
508,Santa Rosa,PH,79.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
513,Sawtell,AU,72.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
514,San Patricio,US,63.28,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
516,Rawson,AR,77.95,clear sky,-43.3002,-65.1023,Hosteria Sampedro
519,San Policarpo,PH,79.88,overcast clouds,12.1791,125.5072,Agapita M. Nicart
521,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
523,Boulsa,BF,75.6,clear sky,12.6675,-0.5758,Auberge Relwende
527,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
531,Tsiroanomandidy,MG,69.22,broken clouds,-18.7667,46.0333,Hotel Ravinala
533,Kingman,US,73.11,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
535,Puerto Leguizamo,CO,73.92,moderate rain,-0.1934,-74.7819,la casona de juancho
536,Saint-Marc,HT,78.89,clear sky,19.1082,-72.6938,Maguana Hotel
538,Uige,AO,66.33,moderate rain,-7.6087,15.0613,Hotel Catraio
540,Villamontes,BO,71.33,broken clouds,-21.25,-63.5,Hotel Raldes
543,Kawerau,NZ,74.23,few clouds,-38.1,176.7,Tui Cottage
544,Nishihara,JP,64.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
548,Niamey,NE,77.29,dust,13.5137,2.1098,Soluxe Hotel Niamey
549,Bandarbeyla,SO,73.89,few clouds,9.4942,50.8122,JABIR HOTEL
554,Nabinagar,BD,60.87,clear sky,23.8917,90.9733,Padma'r Sworone
556,Gusau,NG,71.49,clear sky,12.1628,6.6614,GUEST INN
559,Labuhan,ID,76.39,light rain,-6.8844,112.2051,DoubleFAG
560,Sibolga,ID,75.22,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
563,Iracoubo,GF,76.23,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
565,Bull Savanna,JM,75.33,scattered clouds,17.8868,-77.5902,Big Red's
571,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
575,Bacong,PH,78.84,overcast clouds,9.2464,123.2956,Sta Monica Beach Club
582,Naldurg,IN,67.12,few clouds,17.8167,76.3,रामदेव होटल
583,Soyo,AO,78.44,overcast clouds,-6.1349,12.3689,Hotel Mpampa
591,Contamana,PE,73.71,light rain,-7.3333,-75.0167,Shiringal Touristic Park
594,Doha,QA,62.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
598,Piranhas,BR,72.46,moderate rain,-16.4269,-51.8222,Planalto Hotel
601,Trinidad,BO,72.72,overcast clouds,-14.8333,-64.9,Hotel Piesta
602,Tocopilla,CL,70.2,broken clouds,-22.092,-70.1979,Hotel Galvarino
606,Wamba,NG,74.3,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
610,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
613,Narasapur,IN,65.08,clear sky,16.45,81.6667,UDIPI HOTEL COMFORTINN
614,Ambulu,ID,76.89,light rain,-8.345,113.6058,Hotel Ambulu Jember
616,Manaus,BR,79.3,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
618,Poso,ID,77.72,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
619,Launceston,AU,71.8,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
621,Tigre,AR,76.23,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
623,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
627,Mumford,GH,79.52,broken clouds,5.2618,-0.759,Spanish Villa
629,Del Rio,US,68.11,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
631,Omboue,GA,78.08,overcast clouds,-1.5746,9.2618,Hotel Olako
638,Magdalena,PH,78.19,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
639,Calvinia,ZA,71.94,scattered clouds,-31.4707,19.776,Die Lemoenhuis
640,Mount Gambier,AU,69.78,broken clouds,-37.8333,140.7667,The Commodore
641,Qui Nhon,VN,75.29,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
643,Singaraja,ID,79.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
644,Grand-Santi,GF,72.57,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
647,Juan Lacaze,UY,68.11,clear sky,-34.4342,-57.4381,Posada Agreste
650,Porbandar,IN,66.04,clear sky,21.6422,69.6093,Lords Inn Porbandar
653,Soe,ID,73.13,broken clouds,-9.8607,124.284,Dena Hotel
654,Catuday,PH,77.63,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
655,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
656,Minab,IR,60.3,broken clouds,27.1467,57.0801,Bam campground
657,Kirakira,SB,79.18,overcast clouds,-10.4544,161.9205,SanBiz Lodge
660,Santa Maria,BR,65.28,clear sky,-29.6842,-53.8069,Hotel Morotin
661,Te Anau,NZ,64.27,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
664,Kodar,IN,65.59,clear sky,16.9833,79.9667,Hotel Athidhi Grand
665,Soroti,UG,72.16,overcast clouds,1.7146,33.6111,Strikers Hotel
666,Auki,SB,77.47,overcast clouds,-8.7676,160.7034,Auki Motel
667,Sur,OM,70.83,clear sky,22.5667,59.5289,Sur Plaza Hotel
673,Kimberley,ZA,60.49,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
674,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
679,Santiago Del Estero,AR,72.59,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
682,Gupitan,PH,77.02,overcast clouds,7.7758,125.6406,Tagtugonan Water Falls
683,Gondanglegi,ID,74.16,light rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
687,Itarema,BR,79.68,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
691,Atar,MR,66.47,overcast clouds,20.5169,-13.0499,Oumou Elghoura
697,Junin,AR,62.78,clear sky,-34.5838,-60.9433,Hotel Central
698,Macas,EC,69.13,light rain,-2.3167,-78.1167,Casa Upano
700,Sinnamary,GF,76.48,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
705,Maun,BW,69.13,clear sky,-19.9833,23.4167,Enviro Villa
706,Camopi,GF,73.0,overcast clouds,3.1655,-52.3158,La pousada
708,Guatire,VE,68.02,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
711,Ilinge,ZA,63.5,light rain,-31.9768,27.0427,Hillndale Farm (Noxeke Farm )
